date,ticker,price,fwd10,ex10,fwd30,ex30,fwd45,ex45
2023-09-20,CENTRALBK.NS,47.179500579833984,0.023493221078600524,0.030570324822109196,-0.10112369816417976,-0.0893648488684815,-0.08580184240993749,-0.11694701960817755
2023-09-25,JPPOWER.NS,10.550000190734863,-0.12796211915288047,-0.1323214910215058,0.31279622095485493,0.29653716084927717,0.21800949281069681,0.15478170149175774
2023-09-25,J&KBANK.NS,103.67706298828125,0.057023612938548185,0.052664241069922846,0.008344886659661155,-0.007914173445916606,0.017153378133747843,-0.04607441318519123
2023-09-27,BANKINDIA.NS,98.99494934082031,-0.005076195336645273,-0.015518544405644374,-0.04937710907646786,-0.06274688946494389,0.017074222999004407,-0.0631047269454994
2023-09-27,IFCI.NS,24.25,0.07216494845360821,0.06172259938460911,-0.05979384589441039,-0.07316362628288642,0.13814434562761768,0.057965395683113874
2023-09-28,PNB.NS,74.34161376953125,-0.05586937495741018,-0.07385013887469816,-0.006905303966378007,-0.03052745717914407,0.07281859881626884,-0.013027999642207133
2023-09-28,UNIONBANK.NS,93.81858825683594,0.003902418396697138,-0.01407834552059084,0.09268292484583629,0.06906077163307023,0.1434146079650387,0.05756800950656271
2023-10-06,GMDCLTD.NS,315.1338806152344,0.1932938852195658,0.1915767126660708,0.19147329243649258,0.15704153503556406,0.25959658181768175,0.17416823913765778
2023-10-09,MAPMYINDIA.NS,2165.371826171875,-0.12966534349761083,-0.11838372667082692,0.004027008478511895,-0.04013561199535476,-0.0326060620136982,-0.1371521133095278
2023-10-25,KALYANKJIL.NS,292.23785400390625,0.18434041175641314,0.1388741574450214,0.10161705504879359,-0.009368052097361357,0.2333616679110906,0.07665735373510651
2023-11-02,SWANCORP.NS,385.7055358886719,0.11273808531965734,0.06933755841615641,0.2817156914988521,0.1626095639623215,0.4017105580997056,0.2477191083075262
2023-11-17,JPPOWER.NS,14.5,-0.11379307714001885,-0.14286307302738277,0.11379307714001885,0.04127654105894485,0.0965516978296741,-0.007577737130806783
2023-12-01,NIACL.NS,225.5261688232422,-0.030270195370350805,-0.059434162269237034,-0.06183781241282604,-0.15113157029730506,0.17989202090407752,0.06391471635535728
2024-02-09,IOC.NS,164.29722595214844,-0.036438287743642106,-0.040801109066700536,-0.0824657207791345,-0.022277175451653197,-0.08684923718233117,-0.06563922634956776
2024-02-19,OFSS.NS,7029.7587890625,-0.0046755054856773,0.007025224468427571,0.12493996990750666,0.14489734134637067,-0.04678054637421025,-0.05528395543254361
2024-02-21,OIL.NS,363.8048400878906,0.08313404479112219,0.10758415812461963,0.08390838238268317,0.08865608106762612,0.09406024935331359,0.07780273697420625
2024-02-29,WOCKPHARMA.NS,604.1500244140625,-0.15890097929017577,-0.10344707901133599,-0.051642822057800464,-0.034530512455694606,-0.12091375631238765,-0.11929781318681287
2024-03-06,ACE.NS,1378.7694091796875,0.017667475676366173,0.06411486659296933,0.11211071849463816,0.08095519085037128,0.004046435557211403,-0.026870932335624653
2024-03-12,BOSCHLTD.NS,28937.693359375,0.029471050375675878,0.03336439321036577,-0.00630577589958059,-0.0945202218875636,0.04962001131336935,-0.035569403028794855
2024-03-12,KPIL.NS,1039.782958984375,0.0021157792141774934,0.006009122048867388,0.10056431736359484,0.012349871375611832,0.15289140447964766,0.06770199013748346
2024-03-13,ZYDUSLIFE.NS,955.2968139648438,0.03995250831816821,-0.007648739013545347,-0.015588710739354639,-0.16139549784605345,0.12119968951383386,-0.019111979531484025
2024-03-26,TORNTPOWER.NS,1362.3836669921875,0.1179003331975288,0.05213954837258328,-0.06395014554263745,-0.11637934476138745,-0.004377344790136295,-0.016740389050298177
2024-03-28,FORCEMOT.NS,7210.79248046875,0.1591453322158496,0.12178226040497764,0.26402528544892867,0.19669939296823258,0.16446708062858528,0.0913334229404188
2024-04-02,INDUSTOWER.NS,304.75,0.13010662476286905,0.13010662476286905,0.1302707537556398,0.09102296106146501,0.14241179293350092,0.09315077442367792
2024-05-27,SIEMENS.NS,4220.42431640625,-0.04970099251118976,-0.058397759814478145,0.07605523224636879,-0.017788852747976702,-0.01139964243357583,-0.12114586847216346
2024-06-04,COCHINSHIP.NS,1788.3951416015625,0.24534964018032657,0.13273345896203004,0.4475080189915275,0.2856166374702547,0.2762322026099664,0.12859615602945296
2024-06-28,JKPAPER.NS,529.1113891601562,0.032647626399519014,0.006663658567108266,-0.09628333776100739,-0.11360619663098082,-0.12139194074122606,-0.1725551809506758
2024-07-04,ARE&M.NS,1657.477783203125,-0.08446995881148833,-0.05979771556718877,-0.07528992732244921,-0.0648023240073951,-0.16135576972789478,-0.16915537254729318
2024-07-09,GRSE.NS,2511.4736328125,-0.06566785872182701,-0.05042256638730447,-0.3122360502521825,-0.3172333901131109,-0.3124128754400216,-0.3263530851810127
2024-07-26,STYRENIX.NS,2558.5556640625,-0.015490116074246885,0.006245267943436772,-0.03252519789416708,-0.03637965056274972,-0.07184601221163212,-0.09687634987775806
2024-08-05,SUZLON.NS,67.8499984741211,0.17067062772995434,0.14003830786226024,0.20854829541780906,0.1502131122641509,0.13028746007498948,0.0969824290927257
2024-08-05,PCJEWELLER.NS,9.027000427246094,0.09238945323097703,0.06175713336328292,0.6746426177772407,0.6163074346235825,0.7310290976827838,0.69772406670052
2024-08-14,BIKAJI.NS,834.299072265625,-0.001975176814135393,-0.04020334996398178,0.1711258544419274,0.12031445469431246,0.09014184928462288,0.059235532861004137
2024-09-02,GMRP&UI.NS,134.49000549316406,0.058219953239965205,0.0498667478046283,0.025875496954425703,0.0337303288330727,-0.13287234751053922,-0.08587295058660527
2024-09-13,PGEL.NS,613.9291381835938,0.08140713209522388,0.09081372807363197,-0.05641452625436005,0.0292572217346308,0.1004563749581826,0.20179898864768325
2024-09-24,JUBLPHARMA.NS,1184.1395263671875,-0.021484936143822297,0.00996275087263837,0.04805756339047873,0.09354961455348654,0.03788269662370003,0.1117980361033209
2024-09-25,KALYANKJIL.NS,755.98779296875,-0.0519651700001873,-0.027490662775792873,-0.06878135368474214,-0.024237749854211676,-0.04761279252943462,0.015616037807958394
2024-10-08,SARDAEN.NS,478.84814453125,-0.03541295538508449,0.0040438131676263644,-0.13123635514504717,-0.05260542431227755,-0.003020477606887506,-0.0010595411213225603
2024-10-15,BSE.NS,1574.9537353515625,-0.09852177422436381,-0.03472350039868333,-0.037519083250600826,0.02000929836586951,0.2186752757571857,0.2584014741517784
2024-10-15,IIFLCAPS.NS,414.19476318359375,-0.15046019350835305,-0.08666191968267256,-0.2161907450848174,-0.15866236346834706,-0.21701676366054656,-0.17729056526595388
2024-10-15,STAR.NS,1558.904052734375,-0.046393489015579714,0.01740478481010077,0.01877453595939782,0.07630291757586816,-0.5534659374676502,-0.5137397390730575
2024-10-24,MCX.NS,1324.80029296875,-0.034093803200732964,-0.06199915846566095,0.030093439791006205,-0.008779433786266333,-0.062442710446850236,-0.06361637243799156
2024-10-24,WEBELSOLAR.NS,127.82499694824219,0.2382162931759877,0.2103109379110597,0.09141402571928192,0.052541152142009384,0.2961862039056533,0.295012541914512
2024-11-12,ANUP.NS,3477.329345703125,-0.0056142812880950466,-0.009264243930934724,-0.0164140760805499,-0.017389451718784366,-0.11418415362173273,-0.0744308985750145
2024-12-12,CARTRADE.NS,1524.050048828125,0.026705127697853603,0.06777573965603156,-0.11607231963942699,-0.005210253614115645,0.007217610739527869,0.17044682374116726
2025-01-29,ASHAPURMIN.NS,482.5708312988281,-0.01851661313330566,0.016992565371272028,-0.3609186080638942,-0.2598560425209576,-0.22778524672385758,-0.15778574078394403
2025-04-21,KSCL.NS,1546.5184326171875,-0.07931815722358349,-0.04200598849535975,-0.06368608167965484,-0.10823518633202889,-0.22418788295502778,-0.2709780442776265
