Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Market Capitalization,Price to Earning,Debt to equity,Return on equity,Sales growth 5Years,Profit growth 5Years,Promoter holding,Change in promoter holding 3Years,Pledged percentage,Dividend yield,Price to book value
A C J K Exports,544743,AMIRCHAND,INE05TO01019,Agricultural Food & other Products,Other Agricultural Products,121.60,1259.18,21.00,2.07,17.37,,,78.78,,0.00,0.00,
A-1,542012,,INE911Z01025,Chemicals & Petrochemicals,Trading - Chemicals,14.81,681.26,275.83,0.35,7.82,23.45,3.75,70.03,0.03,0.00,0.24,14.02
A.K.Capital Serv,530499,,INE701G01012,Finance,Non Banking Financial Company (NBFC),1569.05,1035.57,9.96,3.22,8.97,8.98,10.77,72.09,0.59,0.00,2.41,1.02
Aadhar Hsg. Fin.,544176,AADHARHFC,INE883F01010,Finance,Housing Finance Company,473.65,20637.09,19.82,2.55,16.86,17.50,36.61,75.19,,0.00,0.00,3.00
Aarti Drugs,524348,AARTIDRUGS,INE767A01016,Pharmaceuticals & Biotechnology,Pharmaceuticals,360.80,3293.06,16.24,0.39,12.69,5.74,4.03,55.03,-4.63,0.00,0.56,2.23
Aarti Industries,524208,AARTIIND,INE769A01020,Chemicals & Petrochemicals,Specialty Chemicals,425.50,15428.41,41.53,0.70,6.03,11.68,-9.09,42.14,-2.02,3.57,0.24,2.70
Aarti Pharma,543748,AARTIPHARM,INE0LRU01027,Pharmaceuticals & Biotechnology,Pharmaceuticals,685.65,6215.95,28.80,0.32,14.54,,,43.10,,0.01,0.73,3.03
AAVAS Financiers,541988,AAVAS,INE216P01012,Finance,Housing Finance Company,1213.20,9618.58,15.35,3.08,14.11,21.15,18.16,48.95,9.80,0.00,0.00,2.10
Aayush Art,540718,,INE777X01017,Textiles & Apparels,Other Textile Products,1140.00,1745.60,904.43,0.00,4.66,103.57,61.69,20.70,-18.15,0.00,0.00,32.73
AB Cotspin,544522,ABCOTS,INE08PH01015,Textiles & Apparels,Other Textile Products,406.50,892.83,67.68,0.93,11.16,25.93,63.31,52.50,17.59,0.00,0.00,6.06
Abans Financial,543712,AFSL,INE00ZE01026,Finance,Holding Company,201.40,1020.26,7.94,0.62,10.17,3.44,23.92,71.36,-0.73,0.00,0.00,0.86
Abbott India,500488,ABBOTINDIA,INE358A01014,Pharmaceuticals & Biotechnology,Pharmaceuticals,25800.00,54825.01,36.00,0.05,35.68,9.38,18.98,74.99,0.00,0.00,1.89,13.68
ACC,500410,ACC,INE012A01025,Cement & Cement Products,Cement & Cement Products,1395.30,26202.00,10.39,0.02,13.23,6.81,11.16,56.69,0.00,0.00,0.54,1.33
Accelya Solution,532268,ACCELYA,INE793A01012,IT - Software,Computers - Software & Consulting,1140.00,1701.60,15.01,0.33,45.47,5.11,8.03,74.66,0.00,0.00,7.89,6.47
Accent Microcell,,ACCENTMIC,INE0Q5D01013,Pharmaceuticals & Biotechnology,Pharmaceuticals,422.40,1013.28,29.22,0.00,18.44,15.05,51.23,55.44,,0.00,0.24,4.05
ACME Solar Hold.,544283,ACMESOLAR,INE622W01025,Power,Power Generation,274.35,16624.83,33.06,2.72,7.57,-4.59,25.72,83.29,,0.00,0.07,3.52
Action Const.Eq.,532762,ACE,INE731H01025,"Agricultural, Commercial & Construction Vehicles",Construction Vehicles,873.10,10397.14,24.61,0.08,28.65,23.54,51.12,65.42,-1.34,0.00,0.23,5.88
Acutaas Chemical,543349,ACUTAAS,INE00FF01025,Pharmaceuticals & Biotechnology,Pharmaceuticals,2322.10,19011.28,66.24,0.01,16.00,33.26,41.40,32.66,-6.75,0.00,0.06,13.50
Adani Energy Sol,539254,ADANIENSOL,INE931S01010,Power,Power Distribution,1074.65,129095.83,57.46,1.95,13.64,15.80,26.02,71.19,-3.01,0.55,0.00,5.49
Adani Enterp.,512599,ADANIENT,INE423A01024,Metals & Minerals Trading,Trading - Minerals,2056.90,265677.26,72.07,2.03,9.82,17.67,35.59,73.98,1.35,0.81,0.06,4.90
Adani Green,541450,ADANIGREEN,INE364U01010,Power,Power Generation,1042.85,171775.71,104.15,4.52,14.61,34.49,127.48,62.43,5.17,0.00,0.00,8.79
Adani Ports,532921,ADANIPORTS,INE742F01042,Transport Infrastructure,Port & Port services,1449.00,333843.68,26.40,0.85,18.76,20.75,23.07,68.02,2.89,0.00,0.49,5.02
Adani Power,533096,ADANIPOWER,INE814H01029,Power,Integrated Power Utilities,170.70,329189.72,28.79,0.83,26.10,16.25,65.69,74.96,-0.01,1.81,0.00,5.59
Adani Total Gas,542066,ATGL,INE399L01023,Gas,LPG/CNG/PNG/LNG Supplier,552.40,60753.54,94.60,0.45,16.82,21.68,8.72,74.80,0.00,0.00,0.04,13.47
ADC India,523411,,INE833A01016,Telecom -  Equipment & Accessories,Telecom -  Equipment & Accessories,1275.15,586.58,31.91,0.00,34.74,19.08,45.12,72.02,0.00,0.00,2.35,7.62
ADF Foods,519183,ADFFOODS,INE982B01027,Food Products,Packaged Foods,183.80,2019.30,23.72,0.02,13.98,15.63,8.63,36.13,-0.46,0.00,0.64,3.81
Adit.Birla Money,532974,BIRLAMONEY,INE865C01022,Capital Markets,Stockbroking & Allied,126.48,714.75,13.88,6.58,37.21,21.58,44.23,73.53,-0.07,0.00,0.00,2.66
Aditya AMC,543374,ABSLAMC,INE404A01024,Capital Markets,Asset Management Company,973.65,28119.64,27.62,0.02,26.99,9.93,13.48,74.82,-11.68,0.00,2.47,7.89
Aditya Bir. Fas.,535755,ABFRL,INE647O01011,Retailing,Speciality Retail,58.76,7171.73,,0.91,-10.93,-3.51,,46.61,-8.86,0.00,0.00,1.17
Aditya Birla Cap,540691,ABCAPITAL,INE674K01013,Finance,Investment Company,337.95,88557.17,24.96,4.86,11.49,19.47,28.82,68.51,-2.51,0.00,0.00,2.75
Aditya Infotech,544466,CPPLUS,INE819V01029,Industrial Manufacturing,Industrial Products,1904.70,22437.01,88.37,0.08,20.87,20.24,54.52,76.91,,0.00,0.00,14.15
